_id,coflUid,colour,created_at,currentOwner.playerUuid,currentOwner.profileUuid,enchantments.blast_protection,enchantments.ferocious_mana,enchantments.fire_protection,enchantments.growth,enchantments.hardened_mana,enchantments.mana_vampire,enchantments.projectile_protection,enchantments.protection,enchantments.rejuvenate,enchantments.respite,enchantments.smarty_pants,enchantments.strong_mana,enchantments.thorns,enchantments.ultimate_bank,enchantments.ultimate_bobbin_time,enchantments.ultimate_last_stand,enchantments.ultimate_legion,enchantments.ultimate_no_pain_no_gain,enchantments.ultimate_wisdom,extraAttributes.anvil_uses,extraAttributes.artOfPeaceApplied,extraAttributes.bossId,extraAttributes.donated_museum,extraAttributes.dungeon_item,extraAttributes.dungeon_item_level,extraAttributes.dye_item,extraAttributes.gems.DEFENSIVE_0,extraAttributes.gems.DEFENSIVE_0.quality,extraAttributes.gems.DEFENSIVE_0.uuid,extraAttributes.gems.DEFENSIVE_0_gem,extraAttributes.gems.unlocked_slots,extraAttributes.hotPotatoBonus,extraAttributes.hot_potato_count,extraAttributes.originTag,extraAttributes.rarity_upgrades,extraAttributes.spawnedFor,extraAttributes.upgrade_level,itemId,lastChecked,location,previousOwners,processed,rarity,reforge,start,timestamp
c6415dca-dfde-4b06-854c-629d476f9814,629d476f9814,1644825,Wed Sep 11 13:33:00 UTC 2019,4b40bc4c57774e749db29903290793c3,a775f99560c34ab989ce0d81b8a4137e,,,,5,,,,5,,,,,3,,,,,,,1,,,,,,,,,,,,,,UNKNOWN,,,,OLD_DRAGON_LEGGINGS,Fri Mar 31 22:50:10 UTC 2023,inv_armor,"[{'owner': {'playerUuid': '3b4a4dddcfa8424a94b83b6993b4e518', 'profileUuid': '44c3eacd065b4327914937b8b3a99689'}, 'start': {'$date': '2022-03-13T19:18:12.204Z'}, 'end': {'$date': '2022-06-24T07:37:09.785Z'}},{'start': {'$date': '2022-06-24T07:37:09.785Z'}, 'end': {'$date': '2022-07-10T19:12:18.422Z'}, 'owner': {'playerUuid': '8bdf3a1614514fd4b62b06052532da7f', 'profileUuid': 'aeb9133c9a704a529c27c6251e284c1a'}},{'end': {'$date': '2022-07-11T15:36:17.834Z'}, 'owner': {'playerUuid': '16c204e7bfe24c4e8ba91fce6318034e', 'profileUuid': 'c657fc1a7e534395a48f3bc5ada9f114'}, 'start': {'$date': '2022-07-10T19:12:18.422Z'}},{'start': {'$date': '2022-07-11T15:36:17.834Z'}, 'end': {'$date': '2022-10-17T23:28:21.729Z'}, 'owner': {'playerUuid': 'b1a266884c8f42b8acb787f093b9de24', 'profileUuid': 'b1a266884c8f42b8acb787f093b9de24'}},{'owner': {'profileUuid': 'f6f47040804d443c81c895b3374d9e46', 'playerUuid': 'cd16efecbde3415a9f961e078beb1861'}, 'start': {'$date': '2022-10-17T23:28:21.729Z'}, 'end': {'$date': '2022-10-21T21:35:24.701Z'}},{'owner': {'profileUuid': '8b4b5b748d9d459592e259e637d8b5d1', 'playerUuid': '8b4b5b748d9d459592e259e637d8b5d1'}, 'start': {'$date': '2022-10-21T21:35:24.701Z'}, 'end': {'$date': '2022-12-06T01:45:19.492Z'}},{'end': {'$date': '2023-01-07T01:01:21.732Z'}, 'owner': {'profileUuid': 'f6f47040804d443c81c895b3374d9e46', 'playerUuid': 'cd16efecbde3415a9f961e078beb1861'}, 'start': {'$date': '2022-12-06T01:45:19.492Z'}},{'end': {'$date': '2023-03-21T23:57:09.971Z'}, 'owner': {'playerUuid': 'e8d3f45e9edf49068832a014676e2830', 'profileUuid': '37a2a4773101422b9df075a65669db3f'}, 'start': {'$date': '2023-01-07T01:01:21.732Z'}},{'end': {'$date': '2023-03-26T13:24:09.466Z'}, 'owner': {'profileUuid': '5aafa0c293ae46a6bc5ffad09ad12375', 'playerUuid': '5aafa0c293ae46a6bc5ffad09ad12375'}, 'start': {'$date': '2023-03-21T23:57:09.971Z'}}]",TRUE,LEGENDARY,wise,Sun Mar 26 13:24:09 UTC 2023,
b86c3f6c-a00c-49df-94a1-226009c4e087,226009c4e087,1644825,Sun Oct 27 14:21:00 UTC 2019,80247b5618894d02a5043e6bea67b688,97314fa49966405e8fd810522c5b5a38,,,,5,,,,5,,,,,3,,,,,,,1,,,,,,,,,,,,,,UNKNOWN,,,,OLD_DRAGON_LEGGINGS,Mon May 15 18:58:07 UTC 2023,inv_armor,[],TRUE,LEGENDARY,godly,Mon Mar 07 06:02:11 UTC 2022,
d35ceca0-78c6-4d80-88e7-98052b60a949,98052b60a949,1644825,Sun Aug 25 13:57:00 UTC 2019,ee16d822f45f489d891d657a96d81742,dee00ef6f196484faad643a06a96d6a4,,,,5,,,,5,,,,,3,,,,,,,1,,,,,,,,,,,,,,CRAFTING_GRID_COLLECT,,,,OLD_DRAGON_LEGGINGS,Tue May 16 04:45:08 UTC 2023,wardrobe_contents,[],TRUE,LEGENDARY,godly,Thu Mar 03 17:25:13 UTC 2022,
0491d14f-53f7-46f3-86f5-78df38af7a2b,78df38af7a2b,1644825,Thu Oct 10 21:55:00 UTC 2019,d8669fa7d7f64b2986b29cc41bf522f0,34f218cbc5c347abb392610bc4b37f36,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,CRAFTING_GRID_SHIFT,,,,OLD_DRAGON_LEGGINGS,Fri Jun 02 21:39:54 UTC 2023,backpack-4,[],TRUE,LEGENDARY,godly,Sun May 21 19:29:26 UTC 2023,
21313f9b-a810-4063-9f21-fe14c5b17bfb,fe14c5b17bfb,1644825,Mon Aug 19 02:08:00 UTC 2019,d6bedaabae7b4278ac8b27c6de2c328a,d6bedaabae7b4278ac8b27c6de2c328a,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,CRAFTING_GRID_COLLECT,,,,OLD_DRAGON_LEGGINGS,Mon Jun 26 08:17:26 UTC 2023,backpack-15,"[{'start': {'$date': '2022-03-11T16:41:34.388Z'}, 'end': {'$date': '2022-04-30T20:03:03.045Z'}, 'owner': {'playerUuid': '71dc362aae544db2ade1eaa906052943', 'profileUuid': 'ff1dd3e7bae24b188c81a64ce9403daa'}},{'end': {'$date': '2022-11-01T20:31:17.49Z'}, 'owner': {'profileUuid': '29248821dd724b63b97e2fa490d13c14', 'playerUuid': '29248821dd724b63b97e2fa490d13c14'}, 'start': {'$date': '2022-04-30T20:03:03.045Z'}},{'start': {'$date': '2022-11-01T20:31:17.49Z'}, 'end': {'$date': '2022-11-25T05:21:22.665Z'}, 'owner': {'profileUuid': 'e1b20dd31e1943ef957686fbb50e29c7', 'playerUuid': '43a6f90500604902b8391d05993b510b'}},{'owner': {'profileUuid': 'f6f47040804d443c81c895b3374d9e46', 'playerUuid': 'cd16efecbde3415a9f961e078beb1861'}, 'start': {'$date': '2022-11-25T05:21:22.665Z'}, 'end': {'$date': '2022-11-26T02:11:20.391Z'}},{'end': {'$date': '2023-02-21T11:40:40.111Z'}, 'owner': {'playerUuid': 'ff9a61b5f7544311b79b4a83ff085777', 'profileUuid': 'e26666737cd949faa3484de9133c0d3a'}, 'start': {'$date': '2022-11-26T02:11:20.391Z'}},{'owner': {'playerUuid': '9d8920d9bb7843ab82441c7a5a9281a5', 'profileUuid': '9475c8117bcd449495352eee9728b682'}, 'start': {'$date': '2023-02-21T11:40:40.111Z'}, 'end': {'$date': '2023-02-23T19:19:54.677Z'}},{'start': {'$date': '2023-02-23T19:19:54.677Z'}, 'end': {'$date': '2023-03-01T02:19:38.779Z'}, 'owner': {'profileUuid': 'e26666737cd949faa3484de9133c0d3a', 'playerUuid': 'ff9a61b5f7544311b79b4a83ff085777'}}]",TRUE,LEGENDARY,pure,Wed Mar 01 02:19:38 UTC 2023,
a8edf254-c01e-434f-a726-9695a2f504dd,9695a2f504dd,1644825,Tue Sep 24 17:49:00 UTC 2019,63f605cf68fa4d6f94fabfc4203e4d22,9bbc0e26946147b4b6a357ef6e8ed707,,,,5,,,,5,,,,,3,,,,,,,3,,,1,,,,,,,,,,,UNKNOWN,,,,OLD_DRAGON_LEGGINGS,Sun Aug 06 11:02:59 UTC 2023,wardrobe_contents,"[{'start': {'$date': '2022-03-03T16:47:14.912Z'}, 'end': {'$date': '2023-08-05T17:23:49.861Z'}, 'owner': {'profileUuid': '9bbc0e26946147b4b6a357ef6e8ed707', 'playerUuid': 'c843b11fb72e40c38fbba5c25bed070a'}}]",TRUE,LEGENDARY,strong,Sat Aug 05 17:23:49 UTC 2023,
a3b0f8af-b66f-4c17-ba54-fbb08efbf723,fbb08efbf723,1644825,Fri Oct 11 23:05:00 UTC 2019,76deeab9ef9d4b2f9ff2b6caf167baea,76deeab9ef9d4b2f9ff2b6caf167baea,,,,5,,,,5,,,,,,,,,,,,1,,,,,,,,,,,,,,UNKNOWN,,,,OLD_DRAGON_LEGGINGS,Wed Aug 09 15:33:31 UTC 2023,inv_armor,[],TRUE,LEGENDARY,godly,Mon Mar 07 13:54:17 UTC 2022,
b4f5fe99-05f0-432f-a1fb-107d48d41dac,107d48d41dac,1644825,Tue Sep 17 19:45:00 UTC 2019,996180200bbf44fbabb976004ecc6528,996180200bbf44fbabb976004ecc6528,,,,5,,,,5,,,,,3,,,,,,,1,,,,,,,,,,,,,,UNKNOWN,,,,OLD_DRAGON_LEGGINGS,Thu Aug 10 05:13:57 UTC 2023,inv_armor,[],TRUE,LEGENDARY,forceful,Mon Mar 14 20:38:24 UTC 2022,
4e24f3a6-5c59-4713-b364-7a5b035941a3,7a5b035941a3,1644825,Thu Aug 22 18:19:00 UTC 2019,177e8aa2fd1049eb82c5605d33c2fa0a,381a62f2f81b4a018f06f90fcf00426b,,,,5,,,,5,,,,,3,,,,,,,1,,,,,,,,,,,,,,CRAFTING_GRID_COLLECT,,,,OLD_DRAGON_LEGGINGS,Thu Aug 10 06:09:11 UTC 2023,inv_armor,"[{'owner': {'playerUuid': '177e8aa2fd1049eb82c5605d33c2fa0a', 'profileUuid': '36a66428281043dfa2ae36a1cff5a802'}, 'start': {'$date': '2022-03-13T20:15:16.407Z'}, 'end': {'$date': '2022-12-02T23:47:18.968Z'}}]",TRUE,LEGENDARY,godly,Fri Dec 02 23:47:18 UTC 2022,
2b33b27f-01a8-46ca-985d-1075867a81bb,1075867a81bb,1644825,Sat Sep 07 15:55:00 UTC 2019,f756d8ca31554d1db0a1364d851b0c5d,845319936cdd499aac2ecabccd8d173e,,,,5,,,,5,,,,,,,,,,,,2,,,,,,,,,,,,,,UNKNOWN,,,,OLD_DRAGON_LEGGINGS,Thu Aug 10 16:42:06 UTC 2023,inv_armor,[],TRUE,LEGENDARY,godly,Thu Mar 03 02:15:12 UTC 2022,
